TD,Exchange Name,Location,Region,EXCH,MIC,Asset,Acronym
Y,Uganda Securities Exchange,UG,AMA,UG,XUGA,"Eq,FI,Idx",USE
Y,Ukrainian Stock Exchange,UA,EEA,UK,UKEX,"Der,Eq,FI,Idx",UX
Y,Vienna APA,AT,WEA,XA,XWBO,"Der,Eq,FI",
Y,Vienna Stock Exchange,AT,WEA,AV,"EXAA, WBAH, WBDM, WBGF, XCEG, XVIE, XWBO","Eq,FI,Idx",
Y,Warsaw Stock Exchange,PL,WEA,PW,"BOSP, PLPD, PLPX, RPWC, TBSP, WBCL, WBON, WDER, WETP, WGAS, WIND, WMTF, XNCO, XWAR","Der,Eq,FI,Idx",WSE
Y,Wiener Borse,AT,WEA,,XWBO,,
Y,XETRA,DE,WEA,"GE, GQ, GY","XERE, XERT, XETA, XETB, XETR, XEUB, XEUM, XEUP, XEUR",Eq,XETRA
Y,Xetra ETF,DE,WEA,GT,XETR,Eq,
Y,Zagreb Stock Exchange,HR,EEA,ZA,"XZAG, XZAM",,
Y,Zhengzhou Commodity Exchange,CN,APA,,XZCE,Der,ZCE
Y,Zimbabwe Stock Exchange,ZW,AMA,ZH,XZIM,"Eq,FI,Idx",ZSE
Y,e-MID,IT,WEA,,EMID,,
